"ep_no","series_ep_code","title","air_date"
"","s00e36","SpongeGod","2010-07-13"
"","s00e37","The Story of King Neptune","2010-07-13"
"","s00e38","Tips for Jellyfish Fields","2010-10-05"
"","s00e39","Jellyfishing Safety Tips","2010-10-05"
"","s00e40","Plankton Pays","2010-10-05"
"","s00e41","Moldy Sponge","2010-10-30"
"","s00e42","SpongeBob's Legendary Dance Party","2010-11-16"
"","s00e43","Things to Do When Encountering a Legendary Creature","2010-11-16"
"","s00e44","The Legend of SpongeBob","2010-11-16"
"","s00e45","GumShoe SquarePants","2011-03-08"
"","s00e46","SpongeLock Holmes and Dr. Patson","2011-03-08"
"","s00e47","What if the Mystery Ended This Way...?","2011-03-08"
"","s00e48","Time Machine","2011-06-14"
"","s00e49","Lessons Learned","2011-06-14"
"","s00e50","And Krabs Saves the Day","2011-06-14"
"","s00e51","Sandy's Vacation in Ruins","2011-11-12"
"","s00e52","Frozen Krabby Patty","2017-02-18"
"","s00e53","More Feeling","2017-02-18"
"","s00e54","What Else Can a Krabby Patty Do?","2017-02-18"
"","s00e55","Krabby Patty Report","2017-02-18"
"","s00e56","Krabby Patty Jingle","2017-02-18"
"","s00e57","Plankton's Color Nullifier","2017-11-03"
"","s00e58","SpongeBob Appreciation Day: Patchy's Beach Bash!","2019-01-04"
"","s00e59","Movie Ettique","2019-05-24"
"","s00e60","Patchy's Playlist","2019-11-30"
"","s00e61","The SpongeBob Musical: Live on Stage!","2019-12-07"
"","s00e62","The Stars of SpongeBob Fan Favorites Special","2020-06-05"
"","s00e63","SpongeBob's Spookiest Scenes Countdown Special","2020-10-02"
"","s00e64","The SpongeBob SportsPants Countdown Special","2021-01-10"
"","s00e65","The Patrick Star Fan Favorites Special","2021-11-12"
"","s00e66","Twas the Night Before Spongemas","2022-12-22"
"","s00e67","The Tidal Zone: A SpongeBob Universe Special","2023-01-13"
"","s00e68","A Very Patchy Holiday Livestream","2023-12-15"
"","s00e69","Beneath the Bun: Secrets of the Krabby Patty","2024-12-23"
"","s00e70","SpongeBob's Super Bowl Party","2024-02-05"
"","s00e71","SpongeBob: Order Up!","2025-07-18"
"","s00e72","Episode 72","2008-01-29"
"","s00e73","Episode 73","2008-01-29"
"001","s01e01","Help Wanted","1999-05-01"
"002","s01e02","Reef Blower","1999-05-01"
"003","s01e03","Tea at the Treedome","1999-05-01"
"004","s01e04","Bubblestand","1999-07-17"
"005","s01e05","Ripped Pants","1999-07-17"
"006","s01e06","Jellyfishing","1999-07-31"
"007","s01e07","Plankton!","1999-07-31"
"008","s01e08","Naughty Nautical Neighbors","1999-08-07"
"009","s01e09","Boating School","1999-08-07"
"010","s01e10","Pizza Delivery","1999-08-14"
"011","s01e11","Home Sweet Pineapple","1999-08-14"
"012","s01e12","Mermaid Man and Barnacle Boy","1999-08-21"
"013","s01e13","Pickles","1999-08-21"
"014","s01e14","Hall Monitor","1999-08-28"
"015","s01e15","Jellyfish Jam","1999-08-28"
"016","s01e16","Sandy's Rocket","1999-09-04"
"017","s01e17","Squeaky Boots","1999-09-04"
"018","s01e18","Nature Pants","1999-09-11"
"019","s01e19","Opposite Day","1999-09-11"
"020","s01e20","Culture Shock","1999-09-18"
"021","s01e21","F.U.N.","1999-09-18"
"022","s01e22","MuscleBob BuffPants","1999-09-25"
"023","s01e23","Squidward the Unfriendly Ghost","1999-09-25"
"024","s01e24","The Chaperone","1999-10-02"
"025","s01e25","Employee of the Month","1999-10-02"
"026","s01e26","Scaredy Pants","1999-10-28"
"027","s01e27","I Was a Teenage Gary","1999-10-28"
"028","s01e28","SB-129","1999-12-31"
"029","s01e29","Karate Choppers","1999-12-31"
"030","s01e30","Sleepy Time","2000-01-17"
"031","s01e31","Suds","2000-01-17"
"032","s01e32","Valentine's Day","2000-02-14"
"033","s01e33","The Paper","2000-02-14"
"034","s01e34","Arrgh!","2000-03-15"
"035","s01e35","Rock Bottom","2000-03-15"
"036","s01e36","Texas","2000-03-22"
"037","s01e37","Walking Small","2000-03-22"
"038","s01e38","Fools in April","2000-04-01"
"039","s01e39","Neptune's Spatula","2000-04-01"
"040","s01e40","Hooky","2000-04-08"
"041","s01e41","Mermaid Man and Barnacle Boy II","2000-04-08"
"042","s02e01","Something Smells","2000-10-26"
"043","s02e02","Bossy Boots","2000-10-26"
"044","s02e03","Your Shoe's Untied","2000-11-02"
"045","s02e04","Squid's Day Off","2000-11-02"
"046","s02e05","Big Pink Loser","2000-11-16"
"047","s02e06","Bubble Buddy","2000-11-16"
"048","s02e07","Mermaid Man & Barnacle Boy III","2000-11-27"
"049","s02e08","Squirrel Jokes","2000-11-27"
"050","s02e09","Christmas Who?","2000-12-06"
"051","s02e10","Dying for Pie","2000-12-28"
"052","s02e11","Imitation Krabs","2000-12-28"
"053","s02e12","Wormy","2001-02-17"
"054","s02e13","Patty Hype","2001-02-17"
"055","s02e14","Survival of the Idiots","2001-03-05"
"056","s02e15","Dumped","2001-03-05"
"057","s02e16","Grandma's Kisses","2001-03-06"
"058","s02e17","Squidville","2001-03-06"
"059","s02e18","No Free Rides","2001-03-07"
"060","s02e19","I'm Your Biggest Fanatic","2001-03-07"
"061","s02e20","Pressure","2001-03-08"
"062","s02e21","The Smoking Peanut","2001-03-08"
"063","s02e22","Shanghaied","2001-03-09"
"064","s02e23","Prehibernation Week","2001-05-05"
"065","s02e24","Life of Crime","2001-05-05"
"066","s02e25","The Secret Box","2001-09-07"
"067","s02e26","Band Geeks","2001-09-07"
"068","s02e27","Sailor Mouth","2001-09-21"
"069","s02e28","Artist Unknown","2001-09-21"
"070","s02e29","Jellyfish Hunter","2001-09-28"
"071","s02e30","The Fry Cook Games","2001-09-28"
"072","s02e31","Just One Bite","2001-10-05"
"073","s02e32","The Bully","2001-10-05"
"074","s02e33","Squid on Strike","2001-10-12"
"075","s02e34","Sandy, SpongeBob, and the Worm","2001-10-12"
"076","s02e35","Procrastination","2001-11-30"
"077","s02e36","I'm with Stupid","2001-11-30"
"078","s03e01","Mermaid Man and Barnacle Boy IV","2002-01-21"
"079","s03e02","Doing Time","2002-01-21"
"080","s03e03","Welcome to the Chum Bucket","2002-01-21"
"081","s03e04","Frankendoodle","2002-01-21"
"082","s03e05","Snowball Effect","2002-02-22"
"083","s03e06","One Krab's Trash","2002-02-22"
"084","s03e07","Nasty Patty","2002-03-01"
"085","s03e08","Idiot Box","2002-03-01"
"086","s03e09","As Seen on TV","2002-03-08"
"087","s03e10","Can You Spare a Dime?","2002-03-08"
"088","s03e11","No Weenies Allowed","2002-03-15"
"089","s03e12","Squilliam Returns","2002-03-15"
"090","s03e13","The Algae's Always Greener","2002-03-22"
"091","s03e14","SpongeGuard on Duty","2002-03-22"
"092","s03e15","Krab Borg","2002-03-29"
"093","s03e16","Rock-a-Bye Bivalve","2002-03-29"
"094","s03e17","Wet Painters","2002-05-10"
"095","s03e18","Krusty Krab Training Video","2002-05-10"
"096","s03e19","Party Pooper Pants","2002-05-17"
"097","s03e20","Chocolate with Nuts","2002-06-01"
"098","s03e21","Mermaid Man and Barnacle Boy V","2002-06-01"
"099","s03e22","Club SpongeBob","2002-07-12"
"100","s03e23","My Pretty Seahorse","2002-07-12"
"101","s03e24","Graveyard Shift","2002-09-06"
"102","s03e25","Krusty Love","2002-09-06"
"103","s03e26","New Student Starfish","2002-09-20"
"104","s03e27","Clams","2002-09-20"
"105","s03e28","The Great Snail Race","2003-01-24"
"106","s03e29","Mid-Life Crustacean","2003-01-24"
"107","s03e30","The Sponge Who Could Fly","2003-03-21"
"108","s03e31","Gary Takes a Bath","2003-07-26"
"109","s03e32","Born Again Krabs","2003-10-04"
"110","s03e33","I Had an Accident","2003-10-04"
"111","s03e34","Missing Identity","2004-01-19"
"112","s03e35","Plankton's Army","2004-01-19"
"113","s03e36","Ugh","2004-03-05"
"114","s03e37","Krabby Land","2004-04-03"
"115","s03e38","The Camping Episode","2004-04-03"
"116","s03e39","SpongeBob Meets the Strangler","2004-10-11"
"117","s03e40","Pranks a Lot","2004-10-11"
"118","s04e01","Fear of a Krabby Patty","2005-05-06"
"119","s04e02","Shell of a Man","2005-05-06"
"120","s04e03","The Lost Mattress","2005-05-13"
"121","s04e04","Krabs vs. Plankton","2005-05-13"
"122","s04e05","Skill Crane","2005-05-20"
"123","s04e06","Good Neighbors","2005-05-20"
"124","s04e07","Selling Out","2005-09-23"
"125","s04e08","Funny Pants","2005-09-30"
"126","s04e09","Mermaid Man & Barnacle Boy VI - The Motion Picture","2005-10-07"
"127","s04e10","Enemy In-Law","2005-10-14"
"128","s04e11","Patrick SmartPants","2005-10-21"
"129","s04e12","SquidBob TentaclePants","2005-11-04"
"130","s04e13","Have You Seen This Snail?","2005-11-11"
"131","s04e14","Dunces and Dragons","2006-02-20"
"132","s04e15","Krusty Towers","2006-04-01"
"133","s04e16","Mrs. Puff, You're Fired","2006-04-01"
"134","s04e17","Chimps Ahoy","2006-05-05"
"135","s04e18","Ghost Host","2006-05-05"
"136","s04e19","Whale of a Birthday","2006-05-12"
"137","s04e20","Karate Island","2006-05-12"
"138","s04e21","All That Glitters","2006-06-02"
"139","s04e22","Wishing You Well","2006-06-02"
"140","s04e23","New Leaf","2006-09-22"
"141","s04e24","Once Bitten","2006-09-29"
"142","s04e25","Squidtastic Voyage","2006-10-06"
"143","s04e26","Bummer Vacation","2006-10-13"
"144","s04e27","Best Day Ever","2006-11-10"
"145","s04e28","Wigstruck","2006-11-17"
"146","s04e29","That's No Lady","2006-11-25"
"147","s04e30","The Thing","2007-01-15"
"148","s04e31","Hocus Pocus","2007-01-15"
"149","s04e32","Driven to Tears","2007-02-19"
"150","s04e33","Rule of Dumb","2007-02-19"
"151","s04e34","The Pink Purloiner","2007-02-19"
"152","s04e35","The Gift of Gum","2007-02-19"
"153","s04e36","Rise and Shine","2007-02-19"
"154","s04e37","Waiting","2007-02-19"
"155","s04e38","Sing a Song of Patrick","2007-02-19"
"156","s04e39","Born to Be Wild","2007-03-31"
"157","s04e40","Best Frenemies","2007-03-31"
"158","s05e01","Friend or Foe","2007-04-13"
"159","s05e02","Spy Buddies","2007-07-23"
"160","s05e03","Boat Smarts","2007-07-23"
"161","s05e04","Good Ol' Whatshisname","2007-07-23"
"162","s05e05","The Krusty Sponge","2007-07-24"
"163","s05e06","Squid Wood","2007-07-24"
"164","s05e07","New Digs","2007-07-25"
"165","s05e08","Krabs à la Mode","2007-07-25"
"166","s05e09","To Love a Patty","2007-07-26"
"167","s05e10","Breath of Fresh Squidward","2007-07-26"
"168","s05e11","Roller Cowards","2007-07-27"
"169","s05e12","Bucket Sweet Bucket","2007-07-27"
"170","s05e13","The Original Fry Cook","2007-07-30"
"171","s05e14","Night Light","2007-07-30"
"172","s05e15","Money Talks","2007-07-31"
"173","s05e16","SpongeBob vs. The Patty Gadget","2007-07-31"
"174","s05e17","Slimy Dancing","2007-07-31"
"175","s05e18","A Flea in Her Dome","2007-08-01"
"176","s05e19","The Donut of Shame","2007-08-01"
"177","s05e20","The Krusty Plate","2007-08-01"
"178","s05e21","Picture Day","2007-08-02"
"179","s05e22","Pat No Pay","2007-08-02"
"180","s05e23","BlackJack","2007-08-02"
"181","s05e24","Blackened Sponge","2007-08-03"
"182","s05e25","Mermaid Man vs SpongeBob","2007-08-03"
"183","s05e26","Le Big Switch","2007-09-19"
"184","s05e27","Fungus Among Us","2007-09-29"
"185","s05e28","Atlantis SquarePantis","2007-11-12"
"186","s05e29","The Inmates of Summer","2007-11-23"
"187","s05e30","The Two Faces of Squidward","2007-11-23"
"188","s05e31","The Battle of Bikini Bottom","2007-11-23"
"189","s05e32","Banned in Bikini Bottom","2007-11-23"
"190","s05e33","SpongeHenge","2007-11-23"
"191","s05e34","20,000 Patties Under the Sea","2007-11-23"
"192","s05e35","Stanley S. SquarePants","2007-11-23"
"193","s05e36","To Save a Squirrel","2007-11-23"
"194","s06e01","Krabby Road","2008-03-03"
"195","s06e02","Not Normal","2008-03-04"
"196","s06e03","Gone","2008-03-05"
"197","s06e04","Suction Cup Symphony","2008-03-06"
"198","s06e05","Penny Foolish","2008-03-07"
"199","s06e06","Nautical Novice","2008-03-29"
"200","s06e07","Spongicus","2008-03-29"
"201","s06e08","Pest of the West","2008-04-11"
"202","s06e09","The Splinter","2008-06-02"
"203","s06e10","Giant Squidward","2008-06-03"
"204","s06e11","A Life in a Day","2008-06-04"
"205","s06e12","Sun Bleached","2008-06-05"
"206","s06e13","House Fancy","2008-06-06"
"207","s06e14","No Nose Knows","2008-08-04"
"208","s06e15","Patty Caper","2008-08-05"
"209","s06e16","Plankton's Regular","2008-08-06"
"210","s06e17","Boating Buddies","2008-08-07"
"211","s06e18","The Krabby Kronicle","2008-08-08"
"212","s06e19","What Ever Happened to SpongeBob?","2008-10-13"
"213","s06e20","The Slumber Party","2008-11-28"
"214","s06e21","Grooming Gary","2008-11-28"
"215","s06e22","Porous Pockets","2008-11-28"
"216","s06e23","Krusty Krushers","2008-11-28"
"217","s06e24","The Card","2008-11-28"
"218","s06e25","Dear Vikings","2008-11-28"
"219","s06e26","Ditchin'","2008-11-28"
"220","s06e27","Shuffle-Boarding","2009-02-16"
"221","s06e28","Slide Whistle Stooges","2009-02-16"
"222","s06e29","Cephalopod Lodge","2009-02-17"
"223","s06e30","Grandpappy the Pirate","2009-02-18"
"224","s06e31","Professor Squidward","2009-02-19"
"225","s06e32","Sand Castles in the Sand","2009-03-16"
"226","s06e33","Toy Store of Doom","2009-03-17"
"227","s06e34","Pet or Pests","2009-03-18"
"228","s06e35","Komputer Overload","2009-03-19"
"229","s06e36","Choir Boys","2009-03-20"
"230","s06e37","SpongeBob SquarePants vs. The Big One","2009-04-17"
"231","s06e38","Shell Shocked","2009-06-01"
"232","s06e39","Pineapple Fever","2009-06-02"
"233","s06e40","Single Cell Anniversary","2009-06-03"
"234","s06e41","Squid’s Visit","2009-06-04"
"235","s06e42","Gullible Pants","2009-06-05"
"236","s06e43","To SquarePants or Not to SquarePants","2009-06-17"
"237","s06e44","No Hat for Pat","2009-06-19"
"238","s06e45","Overbooked","2009-06-19"
"239","s06e46","Chum Bucket Supreme","2009-06-19"
"240","s06e47","Chum Caverns","2009-07-18"
"241","s07e01","Tentacle-Vision","2009-07-19"
"242","s07e02","I ♥ Dancing","2009-07-19"
"243","s07e03","Growth Spout","2009-07-19"
"244","s07e04","Stuck in the Wringer","2009-07-19"
"245","s07e05","Someone's in the Kitchen with Sandy","2009-07-19"
"246","s07e06","The Inside Job","2009-07-19"
"247","s07e07","Goo Goo Gas","2009-07-19"
"248","s07e08","The Curse of Bikini Bottom","2009-10-24"
"249","s07e09","Truth or Square","2009-11-06"
"250","s07e10","Model Sponge","2009-11-27"
"251","s07e11","Greasy Buffoons","2009-11-27"
"252","s07e12","A Pal for Gary","2010-01-02"
"253","s07e13","Keep Bikini Bottom Beautiful","2010-01-02"
"254","s07e14","Gary in Love","2010-02-06"
"255","s07e15","Rodeo Daze","2010-02-06"
"256","s07e16","Back to the Past","2010-02-15"
"257","s07e17","The Bad Guy Club for Villains","2010-02-15"
"258","s07e18","A Day Without Tears","2010-03-22"
"259","s07e19","Summer Job","2010-03-23"
"260","s07e20","Squidward in Clarinetland","2010-03-24"
"261","s07e21","One Coarse Meal","2010-03-25"
"262","s07e22","The Play's the Thing","2010-03-26"
"263","s07e23","SpongeBob's Last Stand","2010-04-22"
"264","s07e24","Enchanted Tiki Dreams","2010-06-19"
"265","s07e25","The Clash of Triton","2010-07-05"
"266","s07e26","Gramma's Secret Recipe","2010-07-06"
"267","s07e27","The Cent of Money","2010-07-07"
"268","s07e28","That Sinking Feeling","2010-07-08"
"269","s07e29","Karate Star","2010-07-09"
"270","s07e30","You Don’t Know Sponge","2010-08-09"
"271","s07e31","Hide and Then What Happens?","2010-08-09"
"272","s07e32","Yours, Mine and Mine","2010-09-11"
"273","s07e33","Kracked Krabs","2010-09-11"
"274","s07e34","Buried in Time","2010-09-18"
"275","s07e35","Shellback Shenanigans","2010-09-18"
"276","s07e36","The Masterpiece","2010-10-02"
"277","s07e37","Whelk Attack","2010-10-02"
"278","s07e38","Krusty Dogs","2010-10-09"
"279","s07e39","The Wreck of the Mauna Loa","2010-10-09"
"280","s07e40","The Great Patty Caper","2010-11-11"
"281","s07e41","The Abrasive Side","2010-11-27"
"282","s07e42","Earworm","2010-11-27"
"283","s07e43","New Fish in Town","2011-01-15"
"284","s07e44","Big Sister Sam","2011-01-15"
"285","s07e45","Sponge-Cano!","2011-01-28"
"286","s07e46","The Main Drain","2011-01-28"
"287","s07e47","The Monster Who Came to Bikini Bottom","2011-01-28"
"288","s07e48","Welcome to the Bikini Bottom Triangle","2011-01-28"
"289","s07e49","Trench Billies","2011-01-29"
"290","s07e50","Love That Squid","2011-02-12"
"291","s07e51","Tunnel of Glove","2011-02-12"
"292","s07e52","Perfect Chemistry","2011-02-26"
"293","s08e01","A Friendly Game","2011-03-26"
"294","s08e02","Oral Report","2011-03-26"
"295","s08e03","Sentimental Sponge","2011-04-02"
"296","s08e04","Squidward's School for Grown Ups","2011-06-04"
"297","s08e05","The Curse of the Hex","2011-06-11"
"298","s08e06","The Hot Shot","2011-06-18"
"299","s08e07","The Other Patty","2011-06-25"
"300","s08e08","Frozen Face-Off","2011-07-15"
"301","s08e09","Accidents Will Happen","2011-07-18"
"302","s08e10","Drive Thru","2011-07-19"
"303","s08e11","Sweet and Sour Squid","2011-07-20"
"304","s08e12","The Googly Artiste","2011-07-21"
"305","s08e13","Barnacle Face","2011-09-16"
"306","s08e14","Pet Sitter Pat","2011-09-16"
"307","s08e15","Mermaid Man Begins","2011-09-23"
"308","s08e16","Plankton's Good Eye","2011-09-23"
"309","s08e17","House Sittin' for Sandy","2011-09-30"
"310","s08e18","Smoothe Jazz at Bikini Bottom","2011-09-30"
"311","s08e19","Ghoul Fools","2011-10-21"
"312","s08e20","Walking the Plankton","2011-11-07"
"313","s08e21","Patrick's Staycation","2011-11-08"
"314","s08e22","Mr. Krabs Takes a Vacation","2011-11-09"
"315","s08e23","Mooncation","2011-11-10"
"316","s08e24","A SquarePants Family Vacation","2011-11-11"
"317","s08e25","The Krabby Patty That Ate Bikini Bottom","2011-11-25"
"318","s08e26","Bubble Buddy Returns","2011-11-25"
"319","s08e27","The Way of the Sponge","2011-11-26"
"320","s08e28","Bubble Troubles","2011-11-26"
"321","s08e29","Are You Happy Now?","2012-03-31"
"322","s08e30","Planet of the Jellyfish","2012-03-31"
"323","s08e31","Restraining SpongeBob","2012-04-02"
"324","s08e32","Glove World R.I.P.","2012-04-03"
"325","s08e33","Home Sweet Rubble","2012-04-04"
"326","s08e34","Fiasco!","2012-04-05"
"327","s08e35","Free Samples","2012-04-06"
"328","s08e36","InSPONGEiac","2012-04-09"
"329","s08e37","Treats!","2012-04-10"
"330","s08e38","Squiditis","2012-04-11"
"331","s08e39","For Here or to Go","2012-04-12"
"332","s08e40","Karen 2.0","2012-04-13"
"333","s08e41","Extreme Spots","2012-07-21"
"334","s08e42","Squirrel Record","2012-07-21"
"335","s08e43","Demolition Doofus","2012-07-21"
"336","s08e44","Face Freeze!","2012-07-21"
"337","s08e45","The Good Krabby Name","2012-09-03"
"338","s08e46","Squid Baby","2012-09-03"
"339","s08e47","License to Milkshake","2012-09-07"
"340","s08e48","Hello Bikini Bottom!","2012-10-08"
"341","s08e49","Super Evil Aquatic Villain Team Up Is Go!","2012-10-14"
"342","s08e50","Gary's New Toy","2012-10-14"
"343","s08e51","Chum Fricassee","2012-10-21"
"344","s08e52","Move It or Lose It","2012-10-21"
"345","s09e01","Patrick-Man!","2012-10-27"
"346","s09e02","Eek, an Urchin!","2012-10-27"
"347","s09e03","Bumper to Bumper","2012-11-17"
"348","s09e04","It's a SpongeBob Christmas!","2012-11-23"
"349","s09e05","Squid Defense","2013-01-01"
"350","s09e06","Plankton’s Pet","2013-01-19"
"351","s09e07","Little Yellow Book","2013-03-02"
"352","s09e08","Evil Spatula","2013-03-09"
"353","s09e09","Jailbreak!","2013-03-16"
"354","s09e10","Safe Deposit Krabs","2013-05-25"
"355","s09e11","Don’t Look Now","2013-10-14"
"356","s09e12","Séance Shméance","2013-10-14"
"357","s09e13","SpongeBob, You’re Fired","2013-11-11"
"358","s09e14","It Came from Goo Lagoon","2014-02-17"
"359","s09e15","Kenny the Cat","2014-03-29"
"360","s09e16","Yeti Krabs","2015-03-29"
"361","s09e17","Lost in Bikini Bottom","2015-07-16"
"362","s09e18","Tutor Sauce","2015-07-16"
"363","s09e19","The Executive Treatment","2015-09-07"
"364","s09e20","Squid Plus One","2015-09-07"
"365","s09e21","Pull Up a Barrel","2015-09-18"
"366","s09e22","Company Picnic","2015-09-25"
"367","s09e23","What's Eating Patrick?","2015-10-02"
"368","s09e24","Sanctuary!","2015-10-16"
"369","s09e25","Patrick! The Game","2015-11-11"
"370","s09e26","The Sewers of Bikini Bottom","2015-11-11"
"371","s09e27","SpongeBob LongPants","2016-02-15"
"372","s09e28","Larry's Gym","2016-02-15"
"373","s09e29","Mall Girl Pearl","2016-03-12"
"374","s09e30","Two Thumbs Down","2016-03-12"
"375","s09e31","The Fish Bowl","2016-05-02"
"376","s09e32","Married to Money","2016-05-03"
"377","s09e33","Sharks vs. Pods","2016-05-04"
"378","s09e34","CopyBob DittoPants","2016-05-05"
"379","s09e35","Sold!","2016-05-06"
"380","s09e36","Lame and Fortune","2016-07-11"
"381","s09e37","Sandy’s Nutmare","2016-07-12"
"382","s09e38","Food Con Castaways","2016-07-13"
"383","s09e39","Pineapple Invasion","2016-07-14"
"384","s09e40","Salsa Imbecilicus","2016-07-15"
"385","s09e41","Bulletin Board","2016-10-01"
"386","s09e42","Mutiny on the Krusty","2016-10-08"
"387","s09e43","Whirlybrains","2016-10-15"
"388","s09e44","Snail Mail","2016-10-22"
"389","s09e45","MermaidPants","2016-10-29"
"390","s09e46","The Whole Tooth","2016-12-03"
"391","s09e47","Goodbye, Krabby Patty?","2017-02-20"
"392","s10e01","Mimic Madness","2017-02-25"
"393","s10e02","House Worming","2017-02-25"
"394","s10e03","Snooze You Lose","2017-03-04"
"395","s10e04","Krusty Katering","2017-03-04"
"396","s10e05","SpongeBob's Place","2017-03-11"
"397","s10e06","Plankton Gets the Boot","2017-03-11"
"398","s10e07","Life Insurance","2017-03-18"
"399","s10e08","Burst Your Bubble","2017-03-18"
"400","s10e09","Plankton Retires","2017-03-25"
"401","s10e10","Trident Trouble","2017-03-25"
"402","s10e11","Unreal Estate","2017-06-03"
"403","s10e12","Code Yellow","2017-06-03"
"404","s10e13","The Getaway","2017-06-10"
"405","s10e14","Lost and Found","2017-06-10"
"406","s10e15","Patrick's Coupon","2017-06-17"
"407","s10e16","Out of the Picture","2017-06-17"
"408","s10e17","Spot Returns","2017-06-24"
"409","s10e18","The Check-Up","2017-06-24"
"410","s10e19","Sportz?","2017-07-16"
"411","s10e20","Spin the Bottle","2017-07-16"
"412","s11e01","Cave Dwelling Sponge","2017-09-23"
"413","s11e02","The Clam Whisperer","2017-09-23"
"414","s11e03","Man Ray Returns","2017-09-30"
"415","s11e04","Larry the Floor Manager","2017-09-30"
"416","s11e05","Feral Friends","2017-10-07"
"417","s11e06","Don't Wake Patrick","2017-10-07"
"418","s11e07","The Legend of Boo-Kini Bottom","2017-10-13"
"419","s11e08","Krabby Patty Creature Feature","2017-10-21"
"420","s11e09","Teacher's Pests","2017-10-21"
"421","s11e10","No Pictures, Please","2017-11-06"
"422","s11e11","Stuck on the Roof","2017-11-06"
"423","s11e12","There's a Sponge in My Soup","2017-11-07"
"424","s11e13","Cuddle E. Hugs","2017-11-08"
"425","s11e14","ScavengerPants","2017-11-09"
"426","s11e15","Squid Noir","2017-11-10"
"427","s11e16","The Incredible Shrinking Sponge","2018-11-26"
"428","s11e17","Pat the Horse","2017-12-02"
"429","s11e18","Chatterbox Gary","2018-02-12"
"430","s11e19","Don't Feed the Clowns","2018-02-12"
"431","s11e20","Drive Happy","2018-02-13"
"432","s11e21","Old Man Patrick","2018-02-14"
"433","s11e22","Fun-Sized Friends","2018-02-15"
"434","s11e23","Grandmum's the Word","2018-02-16"
"435","s11e24","Doodle Dimension","2018-03-09"
"436","s11e25","Moving Bubble Bass","2018-03-16"
"437","s11e26","Bunny Hunt","2018-03-30"
"438","s11e27","High Sea Diving","2018-04-06"
"439","s11e28","Bottle Burglars","2018-04-13"
"440","s11e29","Sanitation Insanity","2018-05-07"
"441","s11e30","My Leg!","2018-05-08"
"442","s11e31","Ink Lemonade","2018-05-09"
"443","s11e32","Mustard O' Mine","2018-05-10"
"444","s11e33","Whale Watching","2018-08-06"
"445","s11e34","Krusty Kleaners","2018-08-07"
"446","s11e35","Patnocchio","2018-08-08"
"447","s11e36","ChefBob","2018-08-09"
"448","s11e37","Shopping List","2018-09-24"
"449","s11e38","Library Cards","2018-09-25"
"450","s11e39","Plankton Paranoia","2018-09-26"
"451","s11e40","Call the Cops","2018-09-27"
"452","s11e41","The Grill Is Gone","2018-10-21"
"453","s11e42","The Night Patty","2018-10-21"
"454","s11e43","Bubble Town","2018-10-28"
"455","s11e44","Appointment TV","2018-10-28"
"456","s11e45","Karen's Virus","2018-11-04"
"457","s11e46","Girls' Night Out","2018-11-04"
"458","s11e47","Surf n' Turf","2018-11-11"
"459","s11e48","FarmerBob","2018-11-11"
"460","s11e49","Squirrel Jelly","2018-11-18"
"461","s11e50","The String","2018-11-18"
"462","s11e51","Goons on the Moon","2018-11-25"
"463","s12e01","The Nitwitting","2019-01-13"
"464","s12e02","The Ballad of Filthy Muck","2019-01-20"
"465","s12e03","The Krusty Slammer","2019-01-27"
"466","s12e04","King Plankton","2019-06-22"
"467","s12e05","Stormy Weather","2019-06-22"
"468","s12e06","Sandy's Nutty Nieces","2019-06-29"
